"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"1",0,960,"5 Male",0.4125,0
"31",30,990,"5 Male",0.2633333333,0
"61",60,1020,"5 Male",0.1983333333,0
"91",90,1050,"5 Male",0.3208333333,0
"121",120,1080,"5 Male",0.3483333333,0
"151",150,1110,"5 Male",0.2925,0
"181",180,1140,"5 Male",0.2425,0
"211",210,1170,"5 Male",0.3758333333,0
"241",240,1200,"5 Male",0.2741666667,0
"271",270,1230,"5 Male",0.4841666667,0
"301",300,1260,"5 Male",0.39,0
"331",330,1290,"5 Male",0.3508333333,0
"361",360,1320,"5 Male",0.4583333333,0
"391",390,1350,"5 Male",0.7233333333,0
"421",420,1380,"5 Male",0.8666666667,0
"451",450,1410,"5 Male",1.0775,0
"481",480,0,"5 Male",1.9041666667,0
"511",510,30,"5 Male",1.2108333333,0
"541",540,60,"5 Male",0.8566666667,0
"571",570,90,"5 Male",0.715,0
"601",600,120,"5 Male",0.4908333333,0
"631",630,150,"5 Male",0.3383333333,0
"661",660,180,"5 Male",0.4441666667,0
"691",690,210,"5 Male",0.785,0
"721",720,240,"5 Male",0.4458333333,0
"751",750,270,"5 Male",0.3966666667,0
"781",780,300,"5 Male",0.1933333333,0
"811",810,330,"5 Male",0.1508333333,0
"841",840,360,"5 Male",0.1783333333,0
"871",870,390,"5 Male",0.2533333333,0
"901",900,420,"5 Male",0.2241666667,0
"931",930,450,"5 Male",0.2133333333,0
"961",960,480,"5 Male",0.315,0
"991",990,510,"5 Male",0.5341666667,0
"1021",1020,540,"5 Male",0.8375,0
"1051",1050,570,"5 Male",0.8183333333,0
"1081",1080,600,"5 Male",1.0525,0
"1111",1110,630,"5 Male",1.3875,0
"1141",1140,660,"5 Male",1.3433333333,0
"1171",1170,690,"5 Male",1.77,0
"1201",1200,720,"5 Male",2.2366666667,0
"1231",1230,750,"5 Male",1.0725,0
"1261",1260,780,"5 Male",0.5675,0
"1291",1290,810,"5 Male",0.2058333333,0
"1321",1320,840,"5 Male",0.2066666667,0
"1351",1350,870,"5 Male",0.205,0
"1381",1380,900,"5 Male",0.22,0
"1411",1410,930,"5 Male",0.1675,0
