"","Dec_time","Condition","date","Dec_ZT_time","median","mean","sem"
"1",0,"6 Male",2025-02-21,960,0,0.625,0.41992771486803
"2",1,"6 Male",2025-02-21,961,0,0.875,0.479490056503484
"3",2,"6 Male",2025-02-21,962,0,0.5,0.267261241912424
"4",3,"6 Male",2025-02-21,963,0,0.5,0.267261241912424
"5",4,"6 Male",2025-02-21,964,0,1,0.755928946018454
"6",5,"6 Male",2025-02-21,965,0,0.375,0.375
"7",6,"6 Male",2025-02-21,966,0,0.375,0.375
"8",7,"6 Male",2025-02-21,967,0,0.125,0.125
"9",8,"6 Male",2025-02-21,968,0,0.25,0.25
"10",9,"6 Male",2025-02-21,969,0,0.25,0.25
"11",10,"6 Male",2025-02-21,970,0,0.375,0.375
"12",11,"6 Male",2025-02-21,971,0,0.125,0.125
"13",12,"6 Male",2025-02-21,972,0,0.125,0.125
"14",13,"6 Male",2025-02-21,973,0,0.125,0.125
"15",14,"6 Male",2025-02-21,974,0,0.25,0.25
"16",15,"6 Male",2025-02-21,975,0,0.125,0.125
"17",16,"6 Male",2025-02-21,976,0,0.125,0.125
"18",17,"6 Male",2025-02-21,977,0,0,0
"19",18,"6 Male",2025-02-21,978,0,0,0
"20",19,"6 Male",2025-02-21,979,0,0,0
"21",20,"6 Male",2025-02-21,980,0,0,0
"22",21,"6 Male",2025-02-21,981,0,0,0
"23",22,"6 Male",2025-02-21,982,0,0,0
"24",23,"6 Male",2025-02-21,983,0,0,0
"25",24,"6 Male",2025-02-21,984,0,0,0
"26",25,"6 Male",2025-02-21,985,0,0,0
"27",26,"6 Male",2025-02-21,986,0,0,0
"28",27,"6 Male",2025-02-21,987,0,0,0
"29",28,"6 Male",2025-02-21,988,0,0,0
"30",29,"6 Male",2025-02-21,989,0,0,0
"31",30,"6 Male",2025-02-21,990,0,0,0
"32",31,"6 Male",2025-02-21,991,0,0,0
"33",32,"6 Male",2025-02-21,992,0,0,0
"34",33,"6 Male",2025-02-21,993,0,0,0
"35",34,"6 Male",2025-02-21,994,0,0,0
"36",35,"6 Male",2025-02-21,995,0,0,0
"37",36,"6 Male",2025-02-21,996,0,0,0
"38",37,"6 Male",2025-02-21,997,0,0,0
"39",38,"6 Male",2025-02-21,998,0,0,0
"40",39,"6 Male",2025-02-21,999,0,0.125,0.125
"41",40,"6 Male",2025-02-21,1000,0,0.125,0.125
"42",41,"6 Male",2025-02-21,1001,0,0.25,0.25
"43",42,"6 Male",2025-02-21,1002,0,0,0
"44",43,"6 Male",2025-02-21,1003,0,0.5,0.327326835353989
"45",44,"6 Male",2025-02-21,1004,0,0.5,0.5
"46",45,"6 Male",2025-02-21,1005,0,0,0
"47",46,"6 Male",2025-02-21,1006,0,0.125,0.125
"48",47,"6 Male",2025-02-21,1007,0,0.125,0.125
"49",48,"6 Male",2025-02-21,1008,0,0.625,0.625
"50",49,"6 Male",2025-02-21,1009,0,0.125,0.125
"51",50,"6 Male",2025-02-21,1010,0,0.875,0.515388203202208
"52",51,"6 Male",2025-02-21,1011,0,0.25,0.163663417676994
"53",52,"6 Male",2025-02-21,1012,0,0.25,0.25
"54",53,"6 Male",2025-02-21,1013,0,0.25,0.163663417676994
"55",54,"6 Male",2025-02-21,1014,0,1.25,0.674801558131828
"56",55,"6 Male",2025-02-21,1015,0,0.875,0.580563150250316
"57",56,"6 Male",2025-02-21,1016,0,0.5,0.5
"58",57,"6 Male",2025-02-21,1017,0,0.25,0.25
"59",58,"6 Male",2025-02-21,1018,0,0.125,0.125
"60",59,"6 Male",2025-02-21,1019,0,0,0
"61",60,"6 Male",2025-02-21,1020,0,0,0
"62",61,"6 Male",2025-02-21,1021,0,0.125,0.125
"63",62,"6 Male",2025-02-21,1022,0,0.125,0.125
"64",63,"6 Male",2025-02-21,1023,0,0,0
"65",64,"6 Male",2025-02-21,1024,0,0,0
"66",65,"6 Male",2025-02-21,1025,0,0,0
"67",66,"6 Male",2025-02-21,1026,0,0,0
"68",67,"6 Male",2025-02-21,1027,0,0,0
"69",68,"6 Male",2025-02-21,1028,0,0.25,0.25
"70",69,"6 Male",2025-02-21,1029,0,0.5,0.5
"71",70,"6 Male",2025-02-21,1030,0,0.25,0.25
"72",71,"6 Male",2025-02-21,1031,0,0.5,0.5
"73",72,"6 Male",2025-02-21,1032,0,0.875,0.580563150250316
"74",73,"6 Male",2025-02-21,1033,0,0.25,0.25
"75",74,"6 Male",2025-02-21,1034,0.5,5.375,3.95482300488909
"76",75,"6 Male",2025-02-21,1035,0,2.375,1.87023203296887
"77",76,"6 Male",2025-02-21,1036,0,1.75,1.48504449187798
"78",77,"6 Male",2025-02-21,1037,0,1.375,1.375
"79",78,"6 Male",2025-02-21,1038,0,0.875,0.610547178474241
"80",79,"6 Male",2025-02-21,1039,0,1.125,0.989904396538228
"81",80,"6 Male",2025-02-21,1040,0,0.625,0.497762852313084
"82",81,"6 Male",2025-02-21,1041,0,0.5,0.267261241912424
"83",82,"6 Male",2025-02-21,1042,0,0,0
"84",83,"6 Male",2025-02-21,1043,0,0.625,0.625
"85",84,"6 Male",2025-02-21,1044,0,0.125,0.125
"86",85,"6 Male",2025-02-21,1045,0,0.75,0.526104280809151
"87",86,"6 Male",2025-02-21,1046,0,0.75,0.619619699032053
"88",87,"6 Male",2025-02-21,1047,0,0.375,0.263052140404576
"89",88,"6 Male",2025-02-21,1048,0,0,0
"90",89,"6 Male",2025-02-21,1049,0.5,1.75,0.977423727386001
"91",90,"6 Male",2025-02-21,1050,0,1,0.755928946018454
"92",91,"6 Male",2025-02-21,1051,0,2,1.72171011331342
"93",92,"6 Male",2025-02-21,1052,0,0.875,0.610547178474241
"94",93,"6 Male",2025-02-21,1053,0,0.375,0.375
"95",94,"6 Male",2025-02-21,1054,0,0.625,0.625
"96",95,"6 Male",2025-02-21,1055,0,1.875,1.875
"97",96,"6 Male",2025-02-21,1056,0,0,0
"98",97,"6 Male",2025-02-21,1057,0,0.625,0.625
"99",98,"6 Male",2025-02-21,1058,0,0.25,0.25
"100",99,"6 Male",2025-02-21,1059,0,0.125,0.125
"101",100,"6 Male",2025-02-21,1060,0,1.25,0.995525704626168
"102",101,"6 Male",2025-02-21,1061,0,0,0
"103",102,"6 Male",2025-02-21,1062,0,0,0
"104",103,"6 Male",2025-02-21,1063,0,0,0
"105",104,"6 Male",2025-02-21,1064,0,0,0
"106",105,"6 Male",2025-02-21,1065,0,0.625,0.625
"107",106,"6 Male",2025-02-21,1066,0,0.125,0.125
"108",107,"6 Male",2025-02-21,1067,0,0,0
"109",108,"6 Male",2025-02-21,1068,0,0,0
"110",109,"6 Male",2025-02-21,1069,0,0,0
