"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"1",0,960,"6 Male",0.175,0
"31",30,990,"6 Male",0.1116666667,0
"61",60,1020,"6 Male",0.24,0
"91",90,1050,"6 Male",0.2416666667,0
"121",120,1080,"6 Male",0.2258333333,0
"151",150,1110,"6 Male",0.1466666667,0
"181",180,1140,"6 Male",0.2191666667,0
"211",210,1170,"6 Male",0.1433333333,0
"241",240,1200,"6 Male",0.19,0
"271",270,1230,"6 Male",0.1008333333,0
"301",300,1260,"6 Male",0.1766666667,0
"331",330,1290,"6 Male",0.1216666667,0
"361",360,1320,"6 Male",0.3733333333,0
"391",390,1350,"6 Male",0.355,0
"421",420,1380,"6 Male",0.3108333333,0
"451",450,1410,"6 Male",0.5075,0
"481",480,0,"6 Male",0.4108333333,0
"511",510,30,"6 Male",0.3058333333,0
"541",540,60,"6 Male",0.2433333333,0
"571",570,90,"6 Male",0.1675,0
"601",600,120,"6 Male",0.1808333333,0
"631",630,150,"6 Male",0.085,0
"661",660,180,"6 Male",0.1091666667,0
"691",690,210,"6 Male",0.1608333333,0
"721",720,240,"6 Male",0.2525,0
"751",750,270,"6 Male",0.1275,0
"781",780,300,"6 Male",0.1041666667,0
"811",810,330,"6 Male",0.1041666667,0
"841",840,360,"6 Male",0.0783333333,0
"871",870,390,"6 Male",0.0425,0
"901",900,420,"6 Male",0.17,0
"931",930,450,"6 Male",0.1633333333,0
"961",960,480,"6 Male",0.1391666667,0
"991",990,510,"6 Male",0.2741666667,0
"1021",1020,540,"6 Male",0.1841666667,0
"1051",1050,570,"6 Male",0.2475,0
"1081",1080,600,"6 Male",0.3,0
"1111",1110,630,"6 Male",0.4316666667,0
"1141",1140,660,"6 Male",0.6308333333,0
"1171",1170,690,"6 Male",0.965,0
"1201",1200,720,"6 Male",1.67,0
"1231",1230,750,"6 Male",0.9441666667,0
"1261",1260,780,"6 Male",0.6516666667,0
"1291",1290,810,"6 Male",0.2966666667,0
"1321",1320,840,"6 Male",0.0883333333,0
"1351",1350,870,"6 Male",0.0691666667,0
"1381",1380,900,"6 Male",0.0408333333,0
"1411",1410,930,"6 Male",0.1066666667,0
"1441",0,960,"6 Female",0.1733333333,0
"1471",30,990,"6 Female",0.175,0
"1501",60,1020,"6 Female",0.2133333333,0
