"","Dec_time","Condition","date","Dec_ZT_time","median","mean","sem"
"1",0,"4 Male",2025-02-24,960,0,0,0
"2",1,"4 Male",2025-02-24,961,0,0.375,0.375
"3",2,"4 Male",2025-02-24,962,0,0.5,0.5
"4",3,"4 Male",2025-02-24,963,0,0.125,0.125
"5",4,"4 Male",2025-02-24,964,0,0.25,0.25
"6",5,"4 Male",2025-02-24,965,0,0.375,0.375
"7",6,"4 Male",2025-02-24,966,0,0.25,0.25
"8",7,"4 Male",2025-02-24,967,0,0,0
"9",8,"4 Male",2025-02-24,968,0,0.375,0.375
"10",9,"4 Male",2025-02-24,969,0,0.125,0.125
"11",10,"4 Male",2025-02-24,970,0,0.125,0.125
"12",11,"4 Male",2025-02-24,971,0,0.625,0.497762852313084
"13",12,"4 Male",2025-02-24,972,0,0.125,0.125
"14",13,"4 Male",2025-02-24,973,0,0.125,0.125
"15",14,"4 Male",2025-02-24,974,0,0.125,0.125
"16",15,"4 Male",2025-02-24,975,0,0.125,0.125
"17",16,"4 Male",2025-02-24,976,0,0.375,0.263052140404576
"18",17,"4 Male",2025-02-24,977,0,0.25,0.163663417676994
"19",18,"4 Male",2025-02-24,978,0,0.5,0.5
"20",19,"4 Male",2025-02-24,979,0,0.125,0.125
"21",20,"4 Male",2025-02-24,980,0,0.125,0.125
"22",21,"4 Male",2025-02-24,981,0,0,0
"23",22,"4 Male",2025-02-24,982,0,0,0
"24",23,"4 Male",2025-02-24,983,0,0.375,0.375
"25",24,"4 Male",2025-02-24,984,0,0,0
"26",25,"4 Male",2025-02-24,985,0,0,0
"27",26,"4 Male",2025-02-24,986,0,0.125,0.125
"28",27,"4 Male",2025-02-24,987,0,0.875,0.875
"29",28,"4 Male",2025-02-24,988,0,0,0
"30",29,"4 Male",2025-02-24,989,0,0,0
"31",30,"4 Male",2025-02-24,990,0,0,0
"32",31,"4 Male",2025-02-24,991,0,0,0
"33",32,"4 Male",2025-02-24,992,0,0,0
"34",33,"4 Male",2025-02-24,993,0,0,0
"35",34,"4 Male",2025-02-24,994,0,0.375,0.375
"36",35,"4 Male",2025-02-24,995,0,0.25,0.25
"37",36,"4 Male",2025-02-24,996,0,0,0
"38",37,"4 Male",2025-02-24,997,0,0,0
"39",38,"4 Male",2025-02-24,998,0,0,0
"40",39,"4 Male",2025-02-24,999,0,0,0
"41",40,"4 Male",2025-02-24,1000,0,0,0
"42",41,"4 Male",2025-02-24,1001,0,0,0
"43",42,"4 Male",2025-02-24,1002,0,0.5,0.5
"44",43,"4 Male",2025-02-24,1003,0,0.25,0.25
"45",44,"4 Male",2025-02-24,1004,0,0.125,0.125
"46",45,"4 Male",2025-02-24,1005,0,0,0
"47",46,"4 Male",2025-02-24,1006,0,0.25,0.25
"48",47,"4 Male",2025-02-24,1007,0,0.125,0.125
"49",48,"4 Male",2025-02-24,1008,0,0.875,0.742522245938992
"50",49,"4 Male",2025-02-24,1009,0,0.25,0.25
"51",50,"4 Male",2025-02-24,1010,0,0.25,0.25
"52",51,"4 Male",2025-02-24,1011,0,0.375,0.263052140404576
"53",52,"4 Male",2025-02-24,1012,0,2.25,1.65561814092847
"54",53,"4 Male",2025-02-24,1013,0,1.75,1.01330435422222
"55",54,"4 Male",2025-02-24,1014,0,0.125,0.125
"56",55,"4 Male",2025-02-24,1015,0,0.625,0.41992771486803
"57",56,"4 Male",2025-02-24,1016,0,0.375,0.375
"58",57,"4 Male",2025-02-24,1017,0,0.5,0.327326835353989
"59",58,"4 Male",2025-02-24,1018,0,0.25,0.163663417676994
