"Dec_time","Dec_ZT_time","Condition","mean","SEM"
0,960,"1 Male",0.380952380952381,0.148364607825662
1,961,"1 Male",0.380952380952381,0.204344170492774
2,962,"1 Male",0.166666666666667,0.0896286484259384
3,963,"1 Male",0.285714285714286,0.141690942590597
4,964,"1 Male",0.452380952380952,0.207866159455232
5,965,"1 Male",0.761904761904762,0.308248063312703
6,966,"1 Male",0.547619047619048,0.202201532820617
7,967,"1 Male",0.523809523809524,0.218850590578655
8,968,"1 Male",0.428571428571429,0.177552260036218
9,969,"1 Male",0.476190476190476,0.153314503861139
10,970,"1 Male",0.595238095238095,0.204648430324521
11,971,"1 Male",0.428571428571429,0.190185608780713
12,972,"1 Male",0.380952380952381,0.170237181515217
13,973,"1 Male",0.333333333333333,0.151134565827935
14,974,"1 Male",0.166666666666667,0.082896649104955
15,975,"1 Male",0.142857142857143,0.105435486334833
16,976,"1 Male",0.166666666666667,0.10176529364337
17,977,"1 Male",0.214285714285714,0.115749912067728
18,978,"1 Male",0.19047619047619,0.0978164345303084
19,979,"1 Male",0.214285714285714,0.125383102989787
20,980,"1 Male",0.285714285714286,0.128809947809633
21,981,"1 Male",0.142857142857143,0.0873631571154076
22,982,"1 Male",0.333333333333333,0.147242034766462
23,983,"1 Male",0.19047619047619,0.114246993053268
24,984,"1 Male",0.214285714285714,0.120662679936744
25,985,"1 Male",0.119047619047619,0.0848745809175188
26,986,"1 Male",0.0952380952380952,0.0747393753458591
27,987,"1 Male",0.142857142857143,0.0997757565385112
28,988,"1 Male",0.214285714285714,0.110619175362395
29,989,"1 Male",0.19047619047619,0.128595085361785
30,990,"1 Male",0.642857142857143,0.50297769381738
31,991,"1 Male",0.142857142857143,0.0873631571154076
32,992,"1 Male",0.404761904761905,0.212991315766116
33,993,"1 Male",0.214285714285714,0.110619175362395
34,994,"1 Male",0.119047619047619,0.0848745809175188
35,995,"1 Male",0.142857142857143,0.105435486334833
36,996,"1 Male",0.166666666666667,0.0958891798092512
37,997,"1 Male",0.5,0.342922467644409
38,998,"1 Male",0.238095238095238,0.135505779475356
39,999,"1 Male",0.357142857142857,0.15919888207863
40,1000,"1 Male",0.380952380952381,0.166791060265275
41,1001,"1 Male",0.166666666666667,0.107320152702797
42,1002,"1 Male",0.261904761904762,0.144827679292815
43,1003,"1 Male",0.166666666666667,0.0958891798092512
44,1004,"1 Male",0.238095238095238,0.135505779475356
45,1005,"1 Male",0.238095238095238,0.12664492054387
46,1006,"1 Male",0.166666666666667,0.0896286484259384
47,1007,"1 Male",0.214285714285714,0.105238594498529
48,1008,"1 Male",0.380952380952381,0.207166551837429
49,1009,"1 Male",0.119047619047619,0.0777319387388094
50,1010,"1 Male",0.0714285714285714,0.0527177431674163
51,1011,"1 Male",0.214285714285714,0.125383102989787
52,1012,"1 Male",0.261904761904762,0.163652857043483
53,1013,"1 Male",0.238095238095238,0.159155450381715
54,1014,"1 Male",0.285714285714286,0.160883573248992
55,1015,"1 Male",0.285714285714286,0.153494767890319
56,1016,"1 Male",0.119047619047619,0.060986670088087
57,1017,"1 Male",0.238095238095238,0.12664492054387
58,1018,"1 Male",0.404761904761905,0.189930985110745
59,1019,"1 Male",0.238095238095238,0.11711556484047
60,1020,"1 Male",0.214285714285714,0.110619175362395
61,1021,"1 Male",0.166666666666667,0.122482389483726
62,1022,"1 Male",0.119047619047619,0.119047619047619
63,1023,"1 Male",0.0476190476190476,0.0332585855128371
64,1024,"1 Male",0.238095238095238,0.173136414799222
65,1025,"1 Male",0.476190476190476,0.428700458057589
66,1026,"1 Male",0.119047619047619,0.0976041743860646
67,1027,"1 Male",0.0476190476190476,0.0476190476190476
68,1028,"1 Male",0.19047619047619,0.114246993053268
69,1029,"1 Male",0.142857142857143,0.0873631571154076
70,1030,"1 Male",0.285714285714286,0.174726314230815
71,1031,"1 Male",0.333333333333333,0.147242034766462
72,1032,"1 Male",0.666666666666667,0.30226913165587
73,1033,"1 Male",0.666666666666667,0.26762313949447
74,1034,"1 Male",0.69047619047619,0.262853313443129
75,1035,"1 Male",0.642857142857143,0.342195936176468
76,1036,"1 Male",0.30952380952381,0.161612429943695
77,1037,"1 Male",0.523809523809524,0.213477634952623
78,1038,"1 Male",0.452380952380952,0.16765923127246
79,1039,"1 Male",0.69047619047619,0.242154708225047
80,1040,"1 Male",0.714285714285714,0.364329550321908
81,1041,"1 Male",0.880952380952381,0.30137582495236
82,1042,"1 Male",0.642857142857143,0.217742158494545
83,1043,"1 Male",0.357142857142857,0.151728058326153
84,1044,"1 Male",0.380952380952381,0.144397426117753
85,1045,"1 Male",0.595238095238095,0.221019504001961
86,1046,"1 Male",0.19047619047619,0.0916875928269015
87,1047,"1 Male",0.428571428571429,0.187107256944941
88,1048,"1 Male",0.428571428571429,0.156704064813221
89,1049,"1 Male",0.476190476190476,0.184277776106239
90,1050,"1 Male",0.69047619047619,0.381768145152054
91,1051,"1 Male",0.428571428571429,0.19913534679906
92,1052,"1 Male",0.452380952380952,0.196373571295493
