"Dec_time","Dec_ZT_time","Condition","mean","SEM"
0,960,"1 Male",0.0416666666666667,0.029147663515556
1,961,"1 Male",0.208333333333333,0.133017133932519
2,962,"1 Male",0.25,0.174885981093336
3,963,"1 Male",0.229166666666667,0.158224813501439
4,964,"1 Male",0.0208333333333333,0.0208333333333333
5,965,"1 Male",0.0625,0.0625
6,966,"1 Male",0.0625,0.0461865819758285
7,967,"1 Male",0.291666666666667,0.168320693296939
8,968,"1 Male",0.5625,0.352179447831893
9,969,"1 Male",0.208333333333333,0.168320693296939
10,970,"1 Male",0.1875,0.132006642052964
11,971,"1 Male",0.0625,0.0625
12,972,"1 Male",0.1875,0.0971958339737047
13,973,"1 Male",0.604166666666667,0.309053094163156
14,974,"1 Male",0.333333333333333,0.202671285874944
15,975,"1 Male",0.4375,0.201735049363872
16,976,"1 Male",0.3125,0.157991185004123
17,977,"1 Male",0.395833333333333,0.209988988510132
18,978,"1 Male",0.1875,0.101654094676698
19,979,"1 Male",0.125,0.070616585358254
20,980,"1 Male",0.104166666666667,0.0854669243255208
21,981,"1 Male",0.0208333333333333,0.0208333333333333
22,982,"1 Male",0.0416666666666667,0.0416666666666667
23,983,"1 Male",0.229166666666667,0.191206470347111
24,984,"1 Male",0.0625,0.0461865819758285
25,985,"1 Male",0.166666666666667,0.146874449850587
26,986,"1 Male",0.104166666666667,0.104166666666667
27,987,"1 Male",0.166666666666667,0.112724690250017
28,988,"1 Male",0.104166666666667,0.0681543886010226
29,989,"1 Male",0.1875,0.1139874090969
30,990,"1 Male",0.208333333333333,0.188212790143291
31,991,"1 Male",0.270833333333333,0.141983115484702
32,992,"1 Male",0.0833333333333333,0.0654589182339529
33,993,"1 Male",0.125,0.0766369816104119
34,994,"1 Male",0.145833333333333,0.145833333333333
35,995,"1 Male",0.104166666666667,0.0681543886010226
36,996,"1 Male",0.104166666666667,0.074374360557078
37,997,"1 Male",0.0416666666666667,0.029147663515556
38,998,"1 Male",0.1875,0.110030016858715
39,999,"1 Male",0.208333333333333,0.118943089874282
40,1000,"1 Male",0.0625,0.0461865819758285
41,1001,"1 Male",0.270833333333333,0.165079991714025
42,1002,"1 Male",0.354166666666667,0.179858059020993
43,1003,"1 Male",0.0416666666666667,0.029147663515556
44,1004,"1 Male",0.229166666666667,0.208930880637977
45,1005,"1 Male",0.0625,0.035308292679127
46,1006,"1 Male",0.270833333333333,0.132286169400498
47,1007,"1 Male",0.333333333333333,0.217442691017814
48,1008,"1 Male",0.125,0.0766369816104119
49,1009,"1 Male",0.104166666666667,0.074374360557078
50,1010,"1 Male",0.3125,0.291967296939691
51,1011,"1 Male",0.0833333333333333,0.0582953270311121
52,1012,"1 Male",0.0416666666666667,0.0416666666666667
53,1013,"1 Male",0.125,0.070616585358254
54,1014,"1 Male",0.145833333333333,0.0841603466484695
55,1015,"1 Male",0.1875,0.16752328619759
56,1016,"1 Male",0.0208333333333333,0.0208333333333333
57,1017,"1 Male",0.0416666666666667,0.0416666666666667
58,1018,"1 Male",0.0625,0.0625
59,1019,"1 Male",0.0625,0.0461865819758285
60,1020,"1 Male",0.0833333333333333,0.0654589182339529
61,1021,"1 Male",0.125,0.0874429905466681
62,1022,"1 Male",0.291666666666667,0.14573831757778
63,1023,"1 Male",0.166666666666667,0.0806299078078161
64,1024,"1 Male",0.1875,0.110030016858715
65,1025,"1 Male",0.0833333333333333,0.0501180639188034
66,1026,"1 Male",0.208333333333333,0.0785412963006487
67,1027,"1 Male",0.3125,0.176541463395635
68,1028,"1 Male",0.479166666666667,0.256112479676143
69,1029,"1 Male",0.5,0.2855876112298
70,1030,"1 Male",0.145833333333333,0.107310708046614
71,1031,"1 Male",0.229166666666667,0.137220325931328
72,1032,"1 Male",0.541666666666667,0.352244995199401
73,1033,"1 Male",0,0
74,1034,"1 Male",0.208333333333333,0.133017133932519
75,1035,"1 Male",0.583333333333333,0.369292659767182
76,1036,"1 Male",0.375,0.248443737655313
77,1037,"1 Male",0.145833333333333,0.103097348359551
78,1038,"1 Male",0.145833333333333,0.111364773982444
79,1039,"1 Male",0.0833333333333333,0.0833333333333333
80,1040,"1 Male",0.104166666666667,0.104166666666667
